"","name","input.size.1","input.size.2","start","duration","size","throughput","device","context","stream"
"119","[CUDA memcpy DtoH]",19456,0,5.010086,1.4624e-05,0.074223,4.95644,"Tesla K20c (0)",1,7
"120","[CUDA memcpy DtoH]",19456,0,5.010142,0.000202565,1.261784,6.083038,"Tesla K20c (0)",1,7
"121","[CUDA memcpy HtoD]",20480,0,4.996872,1.616e-05,0.078129,4.721391,"Tesla K20c (0)",1,7
"122","[CUDA memcpy HtoD]",20480,0,4.997371,0.000227014,1.32819,5.71357,"Tesla K20c (0)",1,7
"124","[CUDA memcpy DtoH]",20480,0,4.997683,1.504e-05,0.078125,5.072736,"Tesla K20c (0)",1,7
"125","[CUDA memcpy HtoD]",20480,0,4.997977,1.344e-06,6.484985e-05,0.04712,"Tesla K20c (0)",1,7
"126","[CUDA memcpy HtoD]",20480,0,4.998461,0.00022615,1.32819,5.735399,"Tesla K20c (0)",1,7
"127","[CUDA memcpy HtoD]",20480,0,4.998951,0.000227013,1.32819,5.713595,"Tesla K20c (0)",1,7
"129","[CUDA memcpy DtoH]",20480,0,4.999297,1.5137e-05,0.078129,5.040475,"Tesla K20c (0)",1,7
"130","[CUDA memcpy DtoH]",20480,0,4.999348,0.000212933,1.32819,6.091402,"Tesla K20c (0)",1,7
"131","[CUDA memcpy HtoD]",21504,0,4.977786,1.6769e-05,0.082035,4.777409,"Tesla K20c (0)",1,7
"132","[CUDA memcpy HtoD]",21504,0,4.978371,0.000295175,1.394596,4.613908,"Tesla K20c (0)",1,7
"134","[CUDA memcpy DtoH]",21504,0,4.978761,1.5648e-05,0.082031,5.119417,"Tesla K20c (0)",1,7
"135","[CUDA memcpy HtoD]",21504,0,4.97915,1.312e-06,6.484985e-05,0.04827,"Tesla K20c (0)",1,7
"136","[CUDA memcpy HtoD]",21504,0,4.979707,0.000294919,1.394596,4.617913,"Tesla K20c (0)",1,7
"137","[CUDA memcpy HtoD]",21504,0,4.980285,0.000237413,1.394596,5.73646,"Tesla K20c (0)",1,7
"139","[CUDA memcpy DtoH]",21504,0,4.980647,1.5712e-05,0.082035,5.098801,"Tesla K20c (0)",1,7
"140","[CUDA memcpy DtoH]",21504,0,4.980705,0.000223366,1.394596,6.097214,"Tesla K20c (0)",1,7
"141","[CUDA memcpy HtoD]",22528,0,4.92181,1.76e-05,0.085941,4.768583,"Tesla K20c (0)",1,7
"142","[CUDA memcpy HtoD]",22528,0,4.922396,0.000340713,1.461002,4.187572,"Tesla K20c (0)",1,7
"144","[CUDA memcpy DtoH]",22528,0,4.922833,1.6257e-05,0.085938,5.162289,"Tesla K20c (0)",1,7
"145","[CUDA memcpy HtoD]",22528,0,4.923226,1.344e-06,6.484985e-05,0.04712,"Tesla K20c (0)",1,7
"146","[CUDA memcpy HtoD]",22528,0,4.923798,0.000338409,1.461002,4.216082,"Tesla K20c (0)",1,7
"147","[CUDA memcpy HtoD]",22528,0,4.924422,0.000251718,1.461002,5.668089,"Tesla K20c (0)",1,7
