"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","maxAccuracy","minAccuracy","sdAccuracy"
"503","Quadro","hotspotOpt1",0.0043960659741725,7.84884542442842e-06,0.00178542484815776,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"273","Quadro","hotspotOpt1",0.00439361446882072,7.80523076229633e-06,0.00177649423218313,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"103","Quadro","hotspotOpt1",0.00193429531923244,7.8766500390034e-06,0.0040721031378647,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"353","Quadro","hotspotOpt1",0.00398721703550832,7.82006769084084e-06,0.00196128468081846,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"223","Quadro","hotspotOpt1",0.00398848867344852,7.86179983260602e-06,0.00197112251689273,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"433","Quadro","hotspotOpt1",0.00193288489926093,7.82405777813256e-06,0.00404786533389765,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"283","Quadro","hotspotOpt1",0.00439459514360944,7.75460432692105e-06,0.00176457763992155,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"114","Quadro","hotspotOpt1",0.00439361446882072,7.81006954618553e-06,0.00177759555409554,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"403","Quadro","hotspotOpt1",0.00438920023240137,7.80254833376996e-06,0.0017776697167222,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"293","Quadro","hotspotOpt1",0.00439385964660176,8.38797853958096e-06,0.00190902286696123,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"423","Quadro","hotspotOpt1",0.00439557572152736,7.82329236956982e-06,0.00177981062440927,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"133","Quadro","hotspotOpt1",0.00285174078189859,7.62719189273748e-06,0.00267457405005078,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"453","Quadro","hotspotOpt1",0.00285322502685122,7.95551344655073e-06,0.0027882530721141,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"323","Quadro","hotspotOpt1",0.00439312409508706,7.79654693799874e-06,0.00177471584440736,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"373","Quadro","hotspotOpt1",0.00439312409508706,7.74655349836263e-06,0.00176333591555627,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"63","Quadro","hotspotOpt1",0.00285529312327655,7.97385885115347e-06,0.0027926585842098,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"473","Quadro","hotspotOpt1",0.0019353528354956,7.78568139558559e-06,0.00402287440966383,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"513","Quadro","hotspotOpt1",0.00285143461383741,7.64060133573671e-06,0.0026795639285076,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"203","Quadro","hotspotOpt1",0.00438895493942873,7.81249808735219e-06,0.00178003606671092,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"483","Quadro","hotspotOpt1",0.00285856548157875,7.944368226311e-06,0.00277914509130763,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"333","Quadro","hotspotOpt1",0.00193464785308629,7.26474059296395e-06,0.0037550712815124,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"263","Quadro","hotspotOpt1",0.00193852385084462,7.84729780617888e-06,0.00404807905910458,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"73","Quadro","hotspotOpt1",0.00285321575138184,7.95706310796709e-06,0.00278880526441557,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"233","Quadro","hotspotOpt1",0.00398440119809769,7.89087116096751e-06,0.0019804409166263,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"493","Quadro","hotspotOpt1",0.00285708246527926,7.40452549244412e-06,0.00259163870221729,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"573","Quadro","hotspotOpt1",0.00439165282846773,7.78074157907935e-06,0.00177171144509483,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"214","Quadro","hotspotOpt1",0.00285292820520961,7.32624522231318e-06,0.00256797391849365,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
"303","Quadro","hotspotOpt1",0.00285410613558392,7.65729394860652e-06,0.00268290441379817,"0.25",0.00409748361931924,0.00176333591555627,0.000825025745127752
